Minute,,Assist
3,Chest,Adriano
3,Deflected shot on goal,Adriano
3,Deflected shot on goal,Adriano
3,Direct free kick,Adriano
4,Direct free kick,Adriano
4,Direct free kick,Adriano
4,Direct free kick,Adriano
4,Direct free kick,Adriano
5,Direct free kick,Adriano
5,Direct free kick,Aleix Vidal
5,Direct free kick,Aleksandr Hleb
5,Direct free kick,Alex Song
5,Direct free kick,Alexis Sanchez
5,Direct free kick,Alexis Sanchez
6,Direct free kick,Alexis Sanchez
7,Direct free kick,Alexis Sanchez
7,Direct free kick,Alexis Sanchez
7,Direct free kick,Alexis Sanchez
8,Direct free kick,Alexis Sanchez
8,Direct free kick,Alexis Sanchez
8,Direct free kick,Alexis Sanchez
8,Direct free kick,Alexis Sanchez
9,Direct free kick,Alexis Sanchez
9,Direct free kick,Alexis Sanchez
9,Direct free kick,Andres Iniesta
9,Direct free kick,Andres Iniesta
10,Direct free kick,Andres Iniesta
10,Direct free kick,Andres Iniesta
10,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
11,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
12,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Direct free kick,Andres Iniesta
13,Header,Andres Iniesta
14,Header,Andres Iniesta
14,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
15,Header,Andres Iniesta
16,Header,Andres Iniesta
16,Header,Andres Iniesta
16,Header,Andres Iniesta
16,Header,Antoine Griezmann
16,Header,Antoine Griezmann
16,Header,Antonio Amaya
16,Header,Arda Turan
16,Header,Arda Turan
16,Header,Arda Turan
16,Header,Arda Turan
17,Left-footed shot,Arthur
17,Left-footed shot,Arturo Vidal
17,Left-footed shot,Arturo Vidal
17,Left-footed shot,Arturo Vidal
17,Left-footed shot,Arturo Vidal
17,Left-footed shot,Arturo Vidal
18,Left-footed shot,Arturo Vidal
18,Left-footed shot,Arturo Vidal
18,Left-footed shot,Arturo Vidal
18,Left-footed shot,Bojan Krkic
18,Left-footed shot,Bojan Krkic
18,Left-footed shot,Bojan Krkic
