Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
Season 04/05,,,,,,,,,,,
,LaLiga,34,5/1/2005,H,Albacete (19.),2:00,CF,90'+1,2:00,Left-footed shot,Ronaldinho
Season 05/06,,,,,,,,,,,
,Champions League,Group Stage,11/2/2005,H,Panathinaikos,5:00,RW,34',3:00,Left-footed shot,
,LaLiga,13,11/27/2005,H,Racing (18.),4:01,RW,51',2:00,Left-footed shot,Samuel Eto'o
,LaLiga,19,1/15/2006,H,Athletic (19.),2:01,RW,50',2:01,Left-footed shot,Mark van Bommel
,LaLiga,20,1/22/2006,H,Alavés (20.),2:00,CF,82',2:00,Left-footed shot,Ronaldinho
,LaLiga,21,1/29/2006,A,RCD Mallorca (17.),0:03,CF,75',0:02,Right-footed shot,Sylvinho
,,,,,,,,83',0:03,Left-footed shot,Ronaldinho
,Copa del Rey,Quarter-Finals,2/1/2006,H,Real Zaragoza,2:01,CF,42',1:00,Header,Ludovic Giuly
,LaLiga,24,2/18/2006,H,Real Betis (16.),5:01,RW,84',5:01,Left-footed shot,
Season 06/07,,,,,,,,,,,
,LaLiga,1,8/28/2006,A,Celta de Vigo (18.),2:03,LW,59',1:02,Left-footed shot,Andrés Iniesta
,LaLiga,2,9/9/2006,H,CA Osasuna (19.),3:00,RW,36',3:00,Left-footed shot,Samuel Eto'o
,Champions League,Group Stage,9/27/2006,A,Werder Bremen,1:01,RW,89',1:01,Left-footed shot,Deco
,LaLiga,6,10/15/2006,H,Sevilla FC (3.),3:01,RW,80',3:01,Right-footed shot,Xavi
,LaLiga,26,3/10/2007,H,Real Madrid (4.),3:03,RW,11',1:01,Left-footed shot,Samuel Eto'o
,,,,,,,,28',2:02,Left-footed shot,
,,,,,,,,90'+1,3:03,Left-footed shot,Ronaldinho
,LaLiga,27,3/17/2007,A,Recr. Huelva (7.),0:04,RW,86',0:04,Left-footed shot,
,LaLiga,28,3/31/2007,H,Dep. La Coruña (12.),2:01,RW,45',1:00,Left-footed shot,Ronaldinho
,Copa del Rey,Semi-Finals,4/18/2007,H,Getafe,5:02,RW,29',2:00,Solo run,Xavi
,,,,,,,,45',3:00,Left-footed shot,Deco
,LaLiga,35,5/20/2007,A,Atlético Madrid (6.),0:06,RW,39',0:01,Left-footed shot,Samuel Eto'o
,,,,,,,,80',0:05,Left-footed shot,Giovanni van Bronckhorst
,LaLiga,37,6/9/2007,H,Espanyol (11.),2:02,RW,43',1:01,,Gianluca Zambrotta
,,,,,,,,57',2:01,Right-footed shot,Deco
,LaLiga,38,6/17/2007,A,Gimnàstic (20.),1:05,RW,34',0:02,Left-footed shot,Deco
,,,,,,,,51',0:04,Left-footed shot,Deco
Season 07/08,,,,,,,,,,,
,Champions League,Group Stage,9/19/2007,H,Olympique Lyon,3:00,RW,82',2:00,Left-footed shot,Andrés Iniesta
,LaLiga,4,9/22/2007,H,Sevilla FC (2.),2:01,RW,72',1:00,Left-footed shot,Thierry Henry
,,,,,,,,79',2:00,Penalty,
,LaLiga,5,9/26/2007,H,Real Zaragoza (8.),4:01,RW,5',1:00,Left-footed shot,Thierry Henry
,,,,,,,,10',2:01,Left-footed shot,Deco
